optimizer,dataset,seed,min_sse
dual_annealing,lshade_2,6,1408401.95995232
basin_hopping,dual_annealing_3,4,48873.7839189
pso,lshade_2,1,1603104.02268708
basin_hopping,dual_annealing_2,8,62088.85569692
dual_annealing,basin_hopping_1,6,662281.08058441
pso,pso_3,2,1559610.06327683
pso,cmaes_2,2,2375324.78340917
dual_annealing,basin_hopping_2,6,921449.31232345
dual_annealing,dual_annealing_2,1,121938.17562978
cmaes,lshade_1,7,192457.67606222
lshade,dual_annealing_2,8,40010.35928636
basin_hopping,basin_hopping_1,4,54238.43774992
dual_annealing,lshade_1,5,42231.23395698
lshade,basin_hopping_3,10,103795.31035119
dual_annealing,dual_annealing_2,8,723630.22038969
cmaes,basin_hopping_2,2,836440.56908434
lshade,lshade_3,1,74037.23847077
cmaes,pso_1,7,1034483.95409168
dual_annealing,cmaes_3,7,1027908.57410597
cmaes,dual_annealing_2,2,45804.62129695
lshade,lshade_3,7,60927.02462867
lshade,lshade_3,4,60200.3877674
pso,dual_annealing_2,2,2131353.34179412
pso,basin_hopping_1,6,1460155.64003277
pso,cmaes_2,8,902366.91843816
dual_annealing,dual_annealing_2,4,61433.19655637
dual_annealing,dual_annealing_3,5,1664509.91843792
lshade,basin_hopping_2,2,85071.53576111
lshade,pso_1,3,45948.54112413
pso,cmaes_2,9,1426288.55277952
lshade,cmaes_3,4,114274.66730754
cmaes,dual_annealing_3,10,33704.38314972
pso,basin_hopping_3,9,1597604.01966918
lshade,pso_3,9,51551.62867935
lshade,basin_hopping_3,7,85786.77716312
lshade,basin_hopping_2,1,77365.0098962
pso,basin_hopping_2,2,2800672.32195685
lshade,lshade_1,7,41801.48798365
dual_annealing,basin_hopping_1,1,90013.84424288
basin_hopping,lshade_2,8,49473.09693826
cmaes,basin_hopping_2,9,50111.8082119
lshade,cmaes_3,3,124145.21630061
pso,lshade_1,1,2575595.10809012
basin_hopping,lshade_2,6,46766.48103104
dual_annealing,dual_annealing_1,3,88790.90922405
dual_annealing,cmaes_3,1,229221.54669807
cmaes,pso_1,6,48238.85375302
basin_hopping,cmaes_1,9,111483.08460382
basin_hopping,lshade_3,10,206338.17727775
pso,basin_hopping_1,5,1362165.00295594
basin_hopping,lshade_2,1,48123.39108006
pso,basin_hopping_2,1,3128576.60941659
dual_annealing,pso_2,8,38965.24906055
dual_annealing,lshade_1,6,1095535.25350849
pso,basin_hopping_2,6,333697.57629873
cmaes,pso_1,1,48251.35963437
pso,pso_3,1,264266.24509233
cmaes,dual_annealing_1,6,44047.28316884
