optimizer,category,rmse_use,mase,optimizer_name
pso,basin_hopping,95.21924539135495,0.5521438315063301,PSO
cmaes,pso,33.03470985386537,0.4299266034126538,CMA-ES
dual_annealing,pso,28.96642730560554,0.29583026797688283,Dual Annealing
lshade,cmaes,53.61186231846413,0.44314819750844153,L-SHADE
pso,cmaes,180.26143380173025,0.27052966109204263,PSO
pso,lshade,227.16541460832937,0.35826618371845614,PSO
cmaes,lshade,37.678530113407774,0.455970496250503,CMA-ES
cmaes,basin_hopping,45.017471175071265,0.43545393525644,CMA-ES
pso,cmaes,227.25027788400948,0.42376703062742266,PSO
basin_hopping,cmaes,43.9519391296559,0.3077932665850841,Basin Hopping
cmaes,basin_hopping,33.48218268341509,0.39339365394981324,CMA-ES
lshade,dual_annealing,32.45637421071983,0.38355451247052547,L-SHADE
pso,cmaes,164.72129742412125,0.4476666055452988,PSO
cmaes,lshade,67.06117142306334,0.32508913153035646,CMA-ES
lshade,basin_hopping,49.2971691758495,0.49101176341028724,L-SHADE
cmaes,pso,39.993231560620295,0.4493035743303559,CMA-ES
pso,basin_hopping,134.83231908747095,0.47102695035976905,PSO
pso,basin_hopping,260.75766613651655,0.45850658944605077,PSO
cmaes,lshade,134.64145000302287,0.4213760666971384,CMA-ES
basin_hopping,cmaes,60.81623747759827,0.4140593536307457,Basin Hopping
dual_annealing,lshade,53.06998479383746,0.38669835158646454,Dual Annealing
pso,basin_hopping,143.05746356657474,0.3532953719119223,PSO
lshade,dual_annealing,32.104083131274244,0.29562973815275867,L-SHADE
dual_annealing,cmaes,84.32202599789277,0.41861343172735277,Dual Annealing
cmaes,pso,33.750347862775754,0.40806276467809016,CMA-ES
pso,cmaes,158.56513322605775,0.4476666055452988,PSO
cmaes,basin_hopping,36.644981320420314,0.3024453983180946,CMA-ES
basin_hopping,lshade,64.47503954352287,0.3623288987106936,Basin Hopping
lshade,basin_hopping,49.30976216745925,0.40757139396810615,L-SHADE
dual_annealing,basin_hopping,143.45167998787832,0.5699865528321274,Dual Annealing
pso,dual_annealing,146.98349142729253,0.35896191529635,PSO
basin_hopping,cmaes,131.82457074783315,0.3446839853926901,Basin Hopping
dual_annealing,lshade,56.98955919079735,0.36563683147822285,Dual Annealing
lshade,dual_annealing,33.47564341356751,0.3530224572135191,L-SHADE
dual_annealing,pso,163.9724521369757,0.32136204084664843,Dual Annealing
dual_annealing,cmaes,164.73527238963632,0.38721292246125205,Dual Annealing
pso,cmaes,140.28182807623955,0.3145525403196715,PSO
basin_hopping,dual_annealing,80.29516724576919,0.4018335239533265,Basin Hopping
lshade,cmaes,52.110217952508194,0.3944667633157466,L-SHADE
cmaes,dual_annealing,111.2928785160045,0.4195520859994887,CMA-ES
cmaes,lshade,66.8651691218474,0.46604554196895914,CMA-ES
basin_hopping,pso,28.497097739590387,0.3992842210853559,Basin Hopping
basin_hopping,lshade,33.35133191212944,0.4371782995683744,Basin Hopping
dual_annealing,lshade,95.79631718781697,0.3405044479404408,Dual Annealing
cmaes,lshade,134.6899678542774,0.48174993749267125,CMA-ES
cmaes,pso,109.10183204912546,0.4212543930625268,CMA-ES
cmaes,pso,38.349293701846264,0.39977667942843675,CMA-ES
basin_hopping,pso,34.13738866368635,0.26118631908495743,Basin Hopping
lshade,dual_annealing,34.987262261282574,0.38010367349454505,L-SHADE
dual_annealing,cmaes,159.94721573154675,0.36223834347392225,Dual Annealing
basin_hopping,pso,106.07761786567002,0.4270644360934174,Basin Hopping
dual_annealing,basin_hopping,144.43359241042793,0.6060774078573239,Dual Annealing
lshade,dual_annealing,39.81714472745056,0.27162492829765333,L-SHADE
lshade,cmaes,54.97484223027374,0.5099458521550392,L-SHADE
basin_hopping,dual_annealing,38.890818928956534,0.3064407694316296,Basin Hopping
cmaes,pso,147.01133182328672,0.32880083174652,CMA-ES
dual_annealing,pso,93.61014596895008,0.4184665450720208,Dual Annealing
lshade,cmaes,64.36286622838712,0.3573243740943063,L-SHADE
pso,basin_hopping,193.08220002193306,0.4677788329815579,PSO
lshade,cmaes,50.53222226414571,0.3998395604233726,L-SHADE
lshade,cmaes,53.50722144724845,0.3948245404615197,L-SHADE
cmaes,pso,98.80500529678834,0.41533620256589493,CMA-ES
cmaes,dual_annealing,103.32292588783828,0.36679184093619127,CMA-ES
cmaes,lshade,30.544506981071805,0.3985762013319271,CMA-ES
lshade,dual_annealing,34.79959897818257,0.263066017356283,L-SHADE
basin_hopping,pso,35.256291692814735,0.39460524648831935,Basin Hopping
lshade,pso,28.704354822663213,0.23289704451133228,L-SHADE
pso,dual_annealing,242.01326400927113,0.36669197844295126,PSO
lshade,dual_annealing,36.992723691263116,0.4602286336278215,L-SHADE
lshade,pso,33.827285335527044,0.2665887601895267,L-SHADE
lshade,pso,33.88965597287076,0.18280577036874507,L-SHADE
pso,lshade,173.38143587400276,0.3935852364695817,PSO
dual_annealing,cmaes,99.92937966815295,0.30942633298495376,Dual Annealing
dual_annealing,lshade,127.06317743375848,0.30275044484692826,Dual Annealing
pso,lshade,150.96520734161402,0.36029121333953135,PSO
pso,dual_annealing,148.93387429062855,0.3958232629534326,PSO
pso,cmaes,258.33882821790365,0.4295100629924938,PSO
basin_hopping,dual_annealing,29.482561393419402,0.3620747692108943,Basin Hopping
basin_hopping,lshade,66.9284200225553,0.3996154614371113,Basin Hopping
dual_annealing,pso,111.40437815355165,0.31584837821934364,Dual Annealing
lshade,pso,28.703789478702536,0.19171389476914938,L-SHADE
dual_annealing,basin_hopping,73.25815577489537,0.34820902071200954,Dual Annealing
cmaes,lshade,34.49792395933009,0.26011084729154954,CMA-ES
dual_annealing,pso,125.84524241578862,0.37665944375103355,Dual Annealing
pso,dual_annealing,156.62715864470542,0.3958232629534326,PSO
cmaes,lshade,130.55924261387028,0.4051741656543277,CMA-ES
pso,lshade,195.28500551020832,0.3659544715508236,PSO
basin_hopping,pso,58.83551090848585,0.41376027193116854,Basin Hopping
lshade,basin_hopping,39.164886997527134,0.4919462608042858,L-SHADE
basin_hopping,dual_annealing,52.59653728119017,0.47040299466050506,Basin Hopping
basin_hopping,pso,35.91490406005271,0.3554363376525623,Basin Hopping
lshade,pso,28.728851013660748,0.2255416266356535,L-SHADE
dual_annealing,cmaes,67.79887546396772,0.3690962419234838,Dual Annealing
dual_annealing,basin_hopping,142.79531221567254,0.35040653076296885,Dual Annealing
lshade,pso,34.620751373145595,0.17121738953655954,L-SHADE
pso,cmaes,164.0041344823724,0.30772114350814656,PSO
pso,dual_annealing,183.55910478273623,0.35989571853613544,PSO
pso,dual_annealing,202.5016234444416,0.345919076616954,PSO
cmaes,lshade,32.269341937568555,0.35510269035545566,CMA-ES
dual_annealing,pso,33.67714843716488,0.24094074812598065,Dual Annealing
lshade,basin_hopping,35.90561555383781,0.4547757982156491,L-SHADE
dual_annealing,basin_hopping,53.693540684405484,0.45954308797286236,Dual Annealing
pso,dual_annealing,243.38524933379628,0.36669197844295126,PSO
lshade,pso,28.70707880487093,0.15908420471482362,L-SHADE
pso,dual_annealing,221.70474939448133,0.3366094638498853,PSO
cmaes,dual_annealing,27.727335880800812,0.2568932165028975,CMA-ES
dual_annealing,cmaes,134.62268461646235,0.46592083335160467,Dual Annealing
lshade,cmaes,52.38466600827135,0.42726651372452473,L-SHADE
cmaes,dual_annealing,31.802728055492786,0.4474399609930594,CMA-ES
dual_annealing,lshade,180.97937438387706,0.3227602264298709,Dual Annealing
basin_hopping,dual_annealing,33.71349323373254,0.3894410030891217,Basin Hopping
pso,lshade,193.08414978889266,0.4212314634790057,PSO
basin_hopping,dual_annealing,37.99903783877374,0.2419969362209087,Basin Hopping
dual_annealing,basin_hopping,124.10433350607174,0.38327114271668705,Dual Annealing
pso,cmaes,235.0321493797683,0.38368259829275153,PSO
dual_annealing,basin_hopping,146.3866584595876,0.41554354092363355,Dual Annealing
cmaes,lshade,66.90112038242499,0.37186387489348904,CMA-ES
lshade,dual_annealing,30.50366325174427,0.33134202977631166,L-SHADE
dual_annealing,lshade,31.33882129132759,0.40541089848847955,Dual Annealing
lshade,basin_hopping,49.130890758990525,0.4301019449526172,L-SHADE
cmaes,basin_hopping,139.47080790536543,0.5363371753268084,CMA-ES
cmaes,pso,155.1056619670124,0.2799086163120809,CMA-ES
dual_annealing,cmaes,154.6119353756493,0.3736168066078408,Dual Annealing
cmaes,dual_annealing,32.63776571844127,0.2613904368418387,CMA-ES
pso,dual_annealing,222.63503045547384,0.44247169205154374,PSO
pso,basin_hopping,184.27454492614774,0.4677788329815579,PSO
pso,cmaes,144.86295997590435,0.43893848079846715,PSO
lshade,basin_hopping,44.47929640178571,0.39860728591524686,L-SHADE
lshade,pso,32.68900004308753,0.22205767971330606,L-SHADE
pso,cmaes,182.1249604733813,0.38134709505972386,PSO
lshade,cmaes,51.55143453388015,0.44552979485226196,L-SHADE
cmaes,dual_annealing,27.996836677506565,0.4949272216890431,CMA-ES
pso,basin_hopping,192.75264421732746,0.4264506920390771,PSO
lshade,pso,34.62477560311805,0.23670481673304175,L-SHADE
lshade,basin_hopping,44.66588552099783,0.35464662142544895,L-SHADE
lshade,basin_hopping,42.41681596555562,0.3751302541205972,L-SHADE
pso,basin_hopping,255.2095501036605,0.5153041629216057,PSO
dual_annealing,basin_hopping,45.75308967655297,0.42076177549923244,Dual Annealing
basin_hopping,lshade,33.91956866027441,0.28666196088522977,Basin Hopping
cmaes,basin_hopping,34.137821966974364,0.34612277324436436,CMA-ES
lshade,cmaes,53.73172297165389,0.4697219528300184,L-SHADE
pso,lshade,244.73978150937907,0.3868934544231579,PSO
basin_hopping,lshade,32.97866859224625,0.27347284818852763,Basin Hopping
dual_annealing,cmaes,73.01187330935403,0.313777341211326,Dual Annealing
cmaes,pso,33.493787606207924,0.36221937498450185,CMA-ES
basin_hopping,cmaes,50.917873821551524,0.45092022745647986,Basin Hopping
basin_hopping,lshade,69.2716555473684,0.28570578031745203,Basin Hopping
pso,basin_hopping,177.98386410766645,0.4159465113096812,PSO
basin_hopping,lshade,33.45367886748537,0.3873863095364414,Basin Hopping
pso,basin_hopping,269.7361591774964,0.45850658944605077,PSO
dual_annealing,pso,30.10263415057706,0.17888606307033614,Dual Annealing
dual_annealing,lshade,159.6169290366193,0.3213958853670042,Dual Annealing
pso,basin_hopping,88.09318220573743,0.40520949976605825,PSO
cmaes,pso,33.49812894267033,0.30070801425005794,CMA-ES
cmaes,dual_annealing,32.00555299524073,0.3902088998042409,CMA-ES
basin_hopping,lshade,55.2556039927931,0.34049012766128905,Basin Hopping
cmaes,basin_hopping,139.84682431703874,0.4731673137620859,CMA-ES
basin_hopping,lshade,30.978359251329284,0.3882789794190172,Basin Hopping
basin_hopping,cmaes,88.5788891438521,0.33252215281043995,Basin Hopping
lshade,cmaes,55.323993578485684,0.34038388674603914,L-SHADE
dual_annealing,basin_hopping,176.6468034741175,0.42866928490310663,Dual Annealing
lshade,basin_hopping,49.30200749717394,0.4518196434540433,L-SHADE
cmaes,lshade,66.89560851405753,0.3399811071441911,CMA-ES
cmaes,basin_hopping,48.3329163197851,0.3657988196640448,CMA-ES
lshade,pso,28.70268980231482,0.1889744425821652,L-SHADE
dual_annealing,cmaes,48.219249006278964,0.31357341006983697,Dual Annealing
dual_annealing,lshade,45.51782506003861,0.3869451384033881,Dual Annealing
basin_hopping,cmaes,55.374907911956605,0.4142762798413927,Basin Hopping
cmaes,pso,147.93697475989327,0.23768073888508182,CMA-ES
cmaes,dual_annealing,28.057692086775045,0.33548425736379894,CMA-ES
dual_annealing,cmaes,71.53130991085344,0.4036417781598485,Dual Annealing
cmaes,dual_annealing,28.874454880468065,0.39248876450663384,CMA-ES
pso,cmaes,183.62294798266797,0.32480017948354956,PSO
pso,lshade,251.54720269144596,0.3374424805991347,PSO
basin_hopping,pso,34.63210087657954,0.2947019660133366,Basin Hopping
lshade,dual_annealing,33.67870715883353,0.31071180293274697,L-SHADE
lshade,pso,32.75736447789526,0.27449430442049794,L-SHADE
pso,lshade,211.72011378424793,0.38957250015697764,PSO
